Frequency (Hz)	Level (dB)
11541.796875	-149.073364
11584.863281	-157.066055
11627.929688	-159.219269
11670.996094	-158.137695
11714.062500	-158.920029
11757.128906	-159.655380
11800.195312	-158.251175
11843.261719	-159.905472
11886.328125	-158.057068
11929.394531	-158.651184
11972.460938	-159.003418
12015.527344	-160.636230
12058.593750	-159.612366
12101.660156	-159.873917
12144.726562	-159.694016
12187.792969	-159.723282
12230.859375	-158.853210
12273.925781	-159.666946
12316.992188	-160.969711
12360.058594	-160.894104
12403.125000	-160.786011
12446.191406	-159.996033
12489.257812	-163.173431
12532.324219	-159.608810
12575.390625	-161.356094
12618.457031	-160.323227
12661.523438	-161.859787
12704.589844	-160.732300
12747.656250	-162.546967
12790.722656	-160.882645
12833.789062	-162.443649
12876.855469	-159.845840
12919.921875	-158.559677
12962.988281	-161.317963
13006.054688	-162.209259
13049.121094	-163.021362
13092.187500	-161.637314
13135.253906	-162.755096
13178.320312	-163.617752
13221.386719	-162.337036
13264.453125	-159.611465
13307.519531	-159.110458
13350.585938	-165.076050
13393.652344	-162.479004
13436.718750	-161.502304
13479.785156	-165.226944
13522.851562	-163.618439
13565.917969	-161.853973
13608.984375	-161.051193
13652.050781	-163.289078
13695.117188	-163.197617
13738.183594	-164.801788
13781.250000	-162.711212
13824.316406	-163.965714
13867.382812	-165.136200
13910.449219	-163.911240
13953.515625	-162.839523
13996.582031	-163.018341
14039.648438	-168.349869
14082.714844	-163.444702
14125.781250	-164.229752
14168.847656	-165.876694
14211.914062	-164.982697
14254.980469	-159.164688
14298.046875	-156.781998
14341.113281	-164.228134
14384.179688	-166.220367
14427.246094	-164.743652
14470.312500	-164.658829
14513.378906	-167.651047
14556.445312	-166.463242
14599.511719	-163.990906
14642.578125	-163.039276
14685.644531	-162.389587
14728.710938	-166.782959
14771.777344	-165.819656
14814.843750	-164.988419
14857.910156	-168.079041
14900.976562	-166.989059
14944.042969	-164.071762
14987.109375	-161.479370
15030.175781	-166.862320
15073.242188	-166.081848
15116.308594	-166.577866
15159.375000	-166.703171
15202.441406	-166.891617
15245.507812	-169.597183
15288.574219	-165.626740
15331.640625	-164.671555
15374.707031	-165.913391
15417.773438	-168.730255
15460.839844	-166.078720
15503.906250	-167.259811
15546.972656	-168.552505
15590.039062	-167.626007
15633.105469	-161.928497
15676.171875	-159.713058
15719.238281	-166.000412
15762.304688	-169.307770
15805.371094	-165.413712
15848.437500	-165.976700
15891.503906	-169.409180
15934.570312	-167.374481
15977.636719	-165.117783
16020.703125	-157.898254
16063.769531	-158.882187
16106.835938	-169.200439
16149.902344	-168.030289
16192.968750	-166.207428
16236.035156	-170.667038
16279.101562	-167.422852
16322.167969	-163.816177
16365.234375	-163.161163
16408.300781	-167.222031
16451.367188	-169.019623
16494.433594	-166.727432
16537.500000	-167.570923
16580.566406	-167.352188
16623.632812	-170.036606
16666.699219	-167.372253
16709.765625	-165.767990
16752.832031	-165.887405
16795.898438	-170.780197
16838.964844	-169.664154
16882.031250	-166.096161
16925.097656	-169.093735
16968.164062	-168.127579
17011.230469	-157.108917
17054.296875	-154.375061
17097.363281	-164.488113
17140.429688	-170.168839
17183.496094	-168.186035
17226.562500	-167.474060
17269.628906	-168.344559
17312.695312	-168.636856
17355.761719	-167.073563
17398.828125	-162.522263
17441.894531	-163.820984
17484.960938	-170.061691
17528.027344	-167.639282
17571.093750	-167.922821
17614.160156	-171.333221
17657.226562	-170.661438
17700.292969	-165.011444
17743.359375	-163.789932
17786.425781	-167.733704
17829.492188	-170.536896
17872.558594	-169.910706
17915.625000	-168.066208
17958.691406	-171.320770
18001.757812	-170.839432
18044.824219	-167.628372
18087.890625	-165.081833
18130.957031	-166.271790
18174.023438	-171.156799
18217.089844	-170.526749
18260.156250	-168.097855
18303.222656	-170.883072
18346.289062	-172.161423
18389.355469	-162.867493
18432.421875	-160.822739
18475.488281	-166.710144
18518.554688	-170.180984
18561.621094	-168.843369
18604.687500	-167.388718
18647.753906	-171.668472
18690.820312	-169.802628
18733.886719	-166.536270
18776.953125	-159.488434
18820.019531	-160.893173
18863.085938	-169.847458
18906.152344	-166.282883
18949.218750	-167.866913
18992.285156	-170.626923
19035.351562	-172.886948
19078.417969	-165.707108
19121.484375	-163.731308
19164.550781	-168.154510
19207.617188	-171.133209
19250.683594	-170.855164
19293.750000	-167.754227
19336.816406	-170.034698
19379.882812	-173.779800
19422.949219	-167.880096
19466.015625	-165.651917
19509.082031	-166.358719
19552.148438	-173.059952
19595.214844	-169.375351
19638.281250	-167.414337
19681.347656	-171.589310
19724.414062	-171.010086
19767.480469	-160.772812
19810.546875	-158.065643
19853.613281	-166.006454
19896.679688	-170.336456
19939.746094	-168.517868
19982.812500	-167.778595
20025.878906	-169.967499
20068.945312	-172.768417
20112.011719	-167.589249
20155.078125	-161.535034
20198.144531	-163.989456
20241.210938	-172.781235
20284.277344	-170.473816
20327.343750	-167.916656
20370.410156	-169.424179
20413.476562	-170.108536
20456.542969	-166.272827
20499.609375	-163.794418
20542.675781	-167.869827
20585.742188	-168.853516
20628.808594	-168.748596
20671.875000	-167.792404
20714.941406	-169.328461
20758.007812	-172.923889
20801.074219	-168.615036
20844.140625	-164.913010
20887.207031	-166.706436
20930.273438	-172.773941
20973.339844	-170.360001
21016.406250	-168.370163
21059.472656	-171.834610
21102.539062	-172.909439
21145.605469	-163.699600
21188.671875	-161.115662
21231.738281	-167.989853
21274.804688	-172.214752
21317.871094	-171.031998
21360.937500	-167.790802
21404.003906	-170.066391
21447.070312	-172.737045
21490.136719	-158.924866
21533.203125	-147.569885
21576.269531	-148.612030
21619.335938	-164.861115
21662.402344	-170.396301
21705.468750	-167.756271
21748.535156	-171.956223
21791.601562	-170.781555
21834.667969	-166.314896
21877.734375	-164.448227
21920.800781	-168.190994
21963.867188	-173.506912
22006.933594	-171.673416
